No Urut,Nama sampel kopi,"TGS
2600","TGS
2602","TGS
2611","TGS
2620","TGS
813","TGS
816","TGS
821","TGS
822","TGS
826","TGS
832"
51,Robusta Bali Kintamani 2,0.1736,0.9552,0.0031,0.1908,0.064,0.0711,0.013,0.6604,0.0806,0.2741
52,Robusta Bali Kintamani 3,0.1493,0.8856,0.0022,0.1649,0.051,0.058,0.0101,0.699,0.0646,0.2476
53,Robusta Bali Kintamani 4,0.1422,0.8403,0.0018,0.157,0.0434,0.0486,0.0084,0.7412,0.0598,0.2334
54,Robusta Bali Kintamani 5,0.1341,0.6488,0.0024,0.1497,0.0403,0.0459,0.0086,0.6821,0.0647,0.2233
55,Robusta Bali Kintamani 6,0.1025,0.2978,0.0023,0.1201,0.0336,0.0389,0.0206,0.3266,0.0523,0.1389
56,Robusta Bali Kintamani 7,0.1131,0.4563,0.0043,0.129,0.0344,0.0414,0.0085,0.5593,0.0517,0.1733
57,Robusta Dampit Malang 1,0.2128,1.239,0.004,0.2216,0.1175,0.1309,0.0159,0.6496,0.1137,0.3082
58,Robusta Dampit Malang 2,0.2302,1.3508,0.0038,0.2452,0.1071,0.1208,0.0159,0.8253,0.1139,0.3086
59,Robusta Dampit Malang 3,0.2208,0.7667,0.005,0.2445,0.0814,0.0933,0.0112,0.3841,0.1349,0.245
60,Robusta Dampit Malang 4,0.2737,1.5398,0.0055,0.2944,0.1313,0.1442,0.0143,1.3272,0.1135,0.3662
61,Robusta Dampit Malang 5,0.1921,1.2988,0.004,0.2002,0.0769,0.0887,0.0113,1.1594,0.0735,0.2699
62,Robusta Dampit Malang 6,0.1891,1.3289,0.0034,0.1976,0.0724,0.0845,0.0146,1.2328,0.0746,0.274
63,Robusta Dampit Malang 7,0.1792,1.3132,0.003,0.1894,0.0675,0.0779,0.01,1.1764,0.0745,0.2723
64,Robusta Flores Bajawa 1,0.3092,1.759,0.0165,0.3308,0.1272,0.1497,0.019,1.4919,0.1979,0.5982
65,Robusta Flores Bajawa 2,0.2072,1.2494,0.0027,0.2252,0.0592,0.0715,0.0117,1.2019,0.0997,0.3794
66,Robusta Flores Bajawa 3,0.1676,1.0688,0.0039,0.182,0.0459,0.055,0.009,0.912,0.0752,0.296
67,Robusta Flores Bajawa 4,0.1763,1.0227,0.0103,0.1809,0.0615,0.074,0.0115,0.9649,0.0834,0.2797
68,Robusta Flores Bajawa 5,0.1256,0.9481,0.0066,0.1199,0.051,0.0623,0.0109,0.8316,0.0796,0.2552
69,Robusta Flores Bajawa 6,0.1673,0.9013,0.003,0.1814,0.0572,0.0663,0.0102,0.732,0.0731,0.2667
70,Robusta Flores Bajawa 7,0.1199,0.9045,0.0106,0.121,0.0465,0.0577,0.0077,0.6588,0.0707,0.2296
